,index,method,dataset,model_name,backbone,width_mult,depth_mult,scenario,B,P,num_states,budget,acc@1,acc@5,acc1_std,acc5_std
77,77,deesil,imagenet_flora,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,semi,40,15,5,1500000.0,53.37,82.91,,
78,78,deesil,imagenet_flora,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,equi,5,5,20,3000000.0,24.52,61.87,,
79,79,deesil,imagenet_flora,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,equi,10,10,10,3000000.0,41.07,74.88,,
80,80,deesil,imagenet_flora,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,equi,25,25,4,3000000.0,49.51,80.7,,
81,81,deesil,imagenet_flora,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,semi,40,6,11,3000000.0,43.33,76.4,,
82,82,deesil,imagenet_flora,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,semi,40,10,7,3000000.0,49.86,80.6,,
83,83,deesil,imagenet_flora,resnetBasic_w0.6_d0.5,resnetBasic,0.6,0.5,semi,40,15,5,3000000.0,53.02,82.24,,
84,84,deesil,imagenet_flora,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,equi,5,5,20,6000000.0,29.11,65.97,,
85,85,deesil,imagenet_flora,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,equi,10,10,10,6000000.0,39.81,75.52,,
86,86,deesil,imagenet_flora,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,equi,25,25,4,6000000.0,51.79,82.77,,
87,87,deesil,imagenet_flora,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,semi,40,6,11,6000000.0,43.02,76.09,,
88,88,deesil,imagenet_flora,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,semi,40,10,7,6000000.0,51.34,80.76,,
89,89,deesil,imagenet_flora,resnetBasic_w1.0_d0.5,resnetBasic,1.0,0.5,semi,40,15,5,6000000.0,57.06,83.42,,
90,90,deesil,imagenet_flora,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,equi,5,5,20,1500000.0,16.04,49.83,,
91,91,deesil,imagenet_flora,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,equi,10,10,10,1500000.0,33.22,68.19,,
92,92,deesil,imagenet_flora,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,equi,25,25,4,1500000.0,44.77,77.53,,
93,93,deesil,imagenet_flora,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,semi,40,6,11,1500000.0,40.66,74.7,,
94,94,deesil,imagenet_flora,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,semi,40,10,7,1500000.0,46.72,79.0,,
95,95,deesil,imagenet_flora,shufflenet_w1.6_d0.1,shufflenet,1.6,0.1,semi,40,15,5,1500000.0,51.7,81.5,,
96,96,deesil,imagenet_flora,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,equi,5,5,20,3000000.0,20.77,54.75,,
97,97,deesil,imagenet_flora,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,equi,10,10,10,3000000.0,39.51,75.0,,
98,98,deesil,imagenet_flora,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,equi,25,25,4,3000000.0,50.56,81.39,,
99,99,deesil,imagenet_flora,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,semi,40,6,11,3000000.0,45.27,77.12,,
100,100,deesil,imagenet_flora,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,semi,40,10,7,3000000.0,51.95,81.6,,
101,101,deesil,imagenet_flora,shufflenet_w2.6_d0.1,shufflenet,2.6,0.1,semi,40,15,5,3000000.0,56.48,83.31,,
102,102,deesil,imagenet_flora,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,equi,5,5,20,6000000.0,25.98,62.92,,
103,103,deesil,imagenet_flora,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,equi,10,10,10,6000000.0,38.45,74.99,,
104,104,deesil,imagenet_flora,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,equi,25,25,4,6000000.0,49.1,81.74,,
105,105,deesil,imagenet_flora,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,semi,40,6,11,6000000.0,42.97,76.45,,
106,106,deesil,imagenet_flora,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,semi,40,10,7,6000000.0,51.28,81.67,,
107,107,deesil,imagenet_flora,shufflenet_w3.0_d0.1,shufflenet,3.0,0.1,semi,40,15,5,6000000.0,54.69,83.56,,
108,108,deesil,imagenet_food,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,5,5,20,1500000.0,8.43,32.67,,
109,109,deesil,imagenet_food,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,10,10,10,1500000.0,11.7,40.64,,
110,110,deesil,imagenet_food,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,equi,25,25,4,1500000.0,31.94,71.16,,
111,111,deesil,imagenet_food,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,6,11,1500000.0,24.28,60.81,,
112,112,deesil,imagenet_food,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,10,7,1500000.0,28.03,68.02,,
113,113,deesil,imagenet_food,mobilenet_w1.0_d0.2,mobilenet,1.0,0.2,semi,40,15,5,1500000.0,28.77,69.6,,
114,114,deesil,imagenet_food,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,5,5,20,3000000.0,9.75,35.03,,
115,115,deesil,imagenet_food,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,10,10,10,3000000.0,18.03,55.1,,
116,116,deesil,imagenet_food,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,equi,25,25,4,3000000.0,36.53,75.31,,
117,117,deesil,imagenet_food,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,6,11,3000000.0,28.88,66.79,,
118,118,deesil,imagenet_food,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,10,7,3000000.0,32.77,72.02,,
119,119,deesil,imagenet_food,mobilenet_w1.4_d0.2,mobilenet,1.4,0.2,semi,40,15,5,3000000.0,37.26,75.15,,
120,120,deesil,imagenet_food,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,5,5,20,6000000.0,22.79,60.45,,
121,121,deesil,imagenet_food,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,10,10,10,6000000.0,26.36,68.6,,
122,122,deesil,imagenet_food,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,equi,25,25,4,6000000.0,37.93,75.66,,
123,123,deesil,imagenet_food,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,semi,40,6,11,6000000.0,34.16,70.25,,
124,124,deesil,imagenet_food,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,semi,40,10,7,6000000.0,38.3,73.88,,
125,125,deesil,imagenet_food,mobilenet_w2.2_d0.2,mobilenet,2.2,0.2,semi,40,15,5,6000000.0,41.38,75.55,,
126,126,deesil,imagenet_food,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,equi,5,5,20,1500000.0,14.72,48.74,,
127,127,deesil,imagenet_food,resnetBasic_w0.5_d0.5,resnetBasic,0.5,0.5,equi,10,10,10,1500000.0,26.5,67.38,,
